algorithm,dataset,dimension,precision_avg,precision_stdev,recall_avg,recall_stdev,accuracy_avg,accuracy_stdev,f1_avg,f1_stdev,true_detected_avg,true_detected_stdev,true_total_avg,true_total_stdev,fake_detected_avg,fake_detected_stdev,fake_total_avg,fake_total_stdev,negative_space_coverage_avg,negative_space_coverage_stdev,time_to_build_avg,time_to_build_stdev,detectors_count_avg,detectors_count_stdev,time_to_infer_avg,time_to_infer_stdev,self_region_avg,self_region_stdev,stagnation
nsgaii,distilbert-base-cased,3D,0.9161438829962912,0.005768722140993775,0.8902894491129785,0.009799474337022539,0.9044117647058824,0.007512569299736958,0.903027390117125,0.007833291182286753,349,,4284,,3814,,4284,,45901.160742554865,,16134.44619746667,2142.0861116513047,2258.3333333333335,148.88474289418195,52.0009135666672,4.9503489757952694,0.052049825605859155,0.0,5
nsgaii,distilbert-base-cased,4D,0.9468004688171837,0.0017809395708771971,0.9276377217553688,0.0037984772374991447,0.9377528789293496,0.0008754798119536355,0.9371141685360541,0.001072051205317697,223.33333333333334,,4284,,3974,,4284,,1907283.4100742529,,27605.945082000006,5021.6622633040815,2733.3333333333335,296.9287232092353,59.42177716665901,5.953723201788949,0.05291527450301118,0.0,3.6666666666666665
nsgaii,fasttext,1D,0.9644577954902377,0.005537765167615155,0.9365079365079365,0.002531361664187845,0.9509803921568627,0.002192223507352784,0.9502653942343987,0.002084044823028456,148,,4284,,4012,,4284,,52.54310555238044,,1193.5784657000331,217.31738755300287,483.3333333333333,68.31300510639733,17.294863600012224,3.2180285348835347,0.0009486254806622267,0.0,5
nsgaii,fasttext,2D,0.9362784145667116,0.00513876677846247,0.9285714285714286,0.007588342772466456,0.93265639589169,0.0008919221836854684,0.932372834170364,0.0013360006368073527,271,,4284,,3978,,4284,,696.8885864456532,,3787.72408406666,888.857370536991,908.3333333333334,127.14820748507101,32.96513253331614,4.299803723221889,0.022840832373323603,0.0,5
nsgaii,fasttext,3D,0.9249033627339036,0.005822357473407476,0.8548863990040461,0.007308405829224237,0.8927404295051354,0.00608344206508384,0.8885143989737899,0.006449526297797513,297.3333333333333,,4284,,3662.3333333333335,,4284,,22627.738827574864,,15417.016607066664,7746.770127783628,1925,381.444622455213,56.00899880000119,13.916738132437205,0.05263203811863375,0.0,5
nsgaii,fasttext,4D,0.9538302411729802,0.0025060142708622775,0.8856209150326797,0.01582212967116167,0.9213741051976346,0.007657202404896201,0.9183992340595778,0.008574498864172803,183.66666666666666,,4284,,3794,,4284,,662148.6449696133,,33532.2553806,1820.8452652142835,2875,174.64249196572982,75.80158430000058,5.815333194390029,0.046897639374378644,0.0,2
nsgaii,roberta-base,1D,0.989439117313625,0.0011632627405972883,0.9985994397759104,0.0,0.9939698101462807,0.0005935957398929532,0.9939978881465774,0.0005871580494447588,45.666666666666664,,4284,,4278,,4284,,98.97313359952113,,220.96872920000047,41.76242605449077,58.333333333333336,12.909944487358056,1.696461199999855,0.22024443853272965,0.0009984610859861038,0.0,5
nsgaii,roberta-base,2D,0.9770880865802202,0.0034613801771784147,0.9846716464363523,0.007025587990999853,0.9807812013694366,0.0031253618703549592,0.9808478985226866,0.0031767901734625235,99,,4284,,4218.333333333333,,4284,,9187.418749212957,,1072.649179199999,220.23902842652313,225,59.16079783099616,4.716581066667762,1.1596449653618304,0.018108963190113,0.0,5
nsgaii,roberta-base,3D,0.9763769578303875,0.004112597191613913,0.9513694366635543,0.010059219507027983,0.9641690009337068,0.005370843606210184,0.9636855012598355,0.005567020726705025,98.66666666666667,,4284,,4075.6666666666665,,4284,,486044.4941595191,,2929.9535233333204,888.3385721311627,283.3333333333333,84.65616732800196,5.493514599996463,1.557966352073226,0.03755722234939759,0.0,5
nsgaii,roberta-base,4D,0.9790231283603059,0.0014017042735235037,0.9765795206971677,0.004425678381040367,0.9778244631185807,0.0016406427068912713,0.9777930515674728,0.0017036709931601108,89.66666666666667,,4284,,4183.666666666667,,4284,,26501490.695389386,,8393.502295733322,5269.112843770946,541.6666666666666,182.11717839530314,9.843986733341202,3.1858348874209885,0.03986512741613015,0.0,5
